duplicate_count,size_bytes,sha1,paths,tracked_paths
67,0,da39a3ee5e6b4b0d3255bfef95601890afd80709,02_wardrobe_images/karen/13 Sandale mit Open Toe und Riemchen/13 Sandale mit Open Toe und Riemchen.txt || 02_wardrobe_images/karen/19 Firma Salomon Spezialschuh Querfeldeinläufe/19 Firma Salomon Spezialschuh Querfeldeinläufe.txt || 02_wardrobe_images/karen/27 Stiefelette von Post Excellence/27 Stiefelette von Post Excellence.txt || 02_wardrobe_images/karen/28 Stiefel Beige Knöchelhoch/28 Stiefel Beige Knöchelhoch.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/13 Sandale mit Open Toe und Riemchen/13 Sandale mit Open Toe und Riemchen.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/19 Firma Salomon Spezialschuh Querfeldeinläufe/19 Firma Salomon Spezialschuh Querfeldeinläufe.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/27 Stiefelette von Post Excellence/27 Stiefelette von Post Excellence.txt || _release_staging/CapsuleWardrobeRAG/02_wardrobe_images/karen/28 Stiefel Beige Knöchelhoch/28 Stiefel Beige Knöchelhoch.txt || _release_staging/CapsuleWardrobeRAG/src/__init__.py || logs/ngrok.err.log || logs/ngrok.err_20260201-104454.log || logs/ngrok.err_20260201-110547.log || logs/ngrok.err_20260201-112503.log || logs/ngrok.err_20260201-125314.log || logs/ngrok.err_20260201-150023.log || logs/ngrok.err_20260215-110700.log || logs/ngrok.err_20260215-121437.log || logs/ngrok.err_20260215-122402.log || logs/ngrok.err_20260215-202301.log || logs/ngrok.err_20260215-223016.log || logs/ngrok.err_20260221-185711.log || logs/ngrok.err_20260301-161252.log || logs/ngrok.err_20260301-181619.log || logs/ngrok.err_20260301-194224.log || logs/ngrok.out.log || logs/ngrok.out_20260201-104454.log || logs/ngrok.out_20260201-110547.log || logs/ngrok.out_20260201-112503.log || logs/ngrok.out_20260201-125314.log || logs/ngrok.out_20260201-150023.log || logs/ngrok.out_20260215-110700.log || logs/ngrok.out_20260215-121437.log || logs/ngrok.out_20260215-122402.log || logs/ngrok.out_20260215-202301.log || logs/ngrok.out_20260215-223016.log || logs/ngrok.out_20260221-185711.log || logs/ngrok.out_20260301-161252.log || logs/ngrok.out_20260301-173802.log || logs/ngrok.out_20260301-181619.log || logs/ngrok.out_20260301-194224.log || logs/server.out.log || logs/server.out_20260201-104454.log || logs/server.out_20260201-110547.log || logs/server.out_20260201-112503.log || logs/server.out_20260201-125314.log || logs/server.out_20260201-150023.log || logs/server.out_20260215-110700.log || logs/server.out_20260215-113152.log || logs/server.out_20260215-120835.log || logs/server.out_20260215-121437.log || logs/server.out_20260215-121915.log || logs/server.out_20260215-122402.log || logs/server.out_20260215-202301.log || logs/server.out_20260215-223016.log || logs/server.out_20260221-185711.log || logs/server.out_20260222-124115.log || logs/server.out_20260222-192059.log || logs/server.out_20260222-195527.log || logs/server.out_20260222-204434.log || logs/server.out_20260222-205115.log || logs/server.out_20260301-113913.log || logs/server.out_20260301-161252.log || logs/server.out_20260301-164448.log || logs/server.out_20260301-173802.log || logs/server.out_20260301-181619.log || logs/server.out_20260301-194224.log || src/__init__.py,src/__init__.py
7,1617,c9bb6d328b9a4a7c74a70ad8220ed65c60587a74,_release_staging/CapsuleWardrobeRAG/docs/HANDOFF_MANIFEST.md || docs/HANDOFF_MANIFEST.md || docs/_snapshot/handoff_20260222-204547/HANDOFF_MANIFEST.md || docs/_snapshot/handoff_20260222-204618/HANDOFF_MANIFEST.md || docs/_snapshot/handoff_20260301-161040/HANDOFF_MANIFEST.md || docs/_snapshot/handoff_20260301-161316/HANDOFF_MANIFEST.md || docs/_snapshot/latest/HANDOFF_MANIFEST.md,docs/HANDOFF_MANIFEST.md
7,673,ef93967190c613979b79541e4074334e10a7914b,_release_staging/CapsuleWardrobeRAG/docs/HANDOFF_RUNTIME_STATE.md || docs/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/handoff_20260222-204547/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/handoff_20260222-204618/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/handoff_20260301-161040/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/handoff_20260301-161316/HANDOFF_RUNTIME_STATE.md || docs/_snapshot/latest/HANDOFF_RUNTIME_STATE.md,docs/HANDOFF_RUNTIME_STATE.md
4,576,839c065cdd6048c9e0c686f9430adb6e62bef105,docs/_snapshot/handoff_20260222-204547/sanity_check.txt || docs/_snapshot/handoff_20260222-204618/sanity_check.txt || docs/_snapshot/handoff_20260301-161316/sanity_check.txt || docs/_snapshot/latest/sanity_check.txt,
2,684761,7f86840a8f915e46fcbd9ba28c674b2d220ac745,docs/_snapshot/handoff_20260301-161316/project_audit_dump.md || docs/_snapshot/latest/project_audit_dump.md,
2,45231,d66a90081a8d1b2f3926afc71851d12ec9463708,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_03_item_types.md || ontology/ontology_part_03_item_types.md,ontology/ontology_part_03_item_types.md
2,38176,254c2ae3d18ca6e8a23cbdeea0f0a1205507de91,_release_staging/CapsuleWardrobeRAG/src/api_v2.py || src/api_v2.py,src/api_v2.py
2,34992,21a86a729a289031956ad70ee8a1f662ca0e1692,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_04_attributes_value_sets_core.md || ontology/ontology_part_04_attributes_value_sets_core.md,ontology/ontology_part_04_attributes_value_sets_core.md
2,34571,43319ceaff8113e3e15d1ae45719babab850f8f1,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_07_brands_shops.md || ontology/ontology_part_07_brands_shops.md,ontology/ontology_part_07_brands_shops.md
2,29768,044cf249eb5520ebe35aa0b1c2f1971491578251,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_06_fits_cuts_collars_sizes.md || ontology/ontology_part_06_fits_cuts_collars_sizes.md,ontology/ontology_part_06_fits_cuts_collars_sizes.md
2,27039,d75210b5f978a52d1c2e6771fff461282751e931,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_08_rules_disambiguation.md || ontology/ontology_part_08_rules_disambiguation.md,ontology/ontology_part_08_rules_disambiguation.md
2,26571,490215443f3ec74482e9bb1a86ed58d0ca8f0b7e,_release_staging/CapsuleWardrobeRAG/src/ingest_wardrobe.py || src/ingest_wardrobe.py,src/ingest_wardrobe.py
2,22814,7010b7e5b311e358f7a83705c03283fb71fa606e,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_02_taxonomy.md || ontology/ontology_part_02_taxonomy.md,ontology/ontology_part_02_taxonomy.md
2,19295,27b03fba7b748c064e55184d51c149aa2db58bed,_release_staging/CapsuleWardrobeRAG/src/web_dashboard.py || src/web_dashboard.py,src/web_dashboard.py
2,17673,910fa8bc427109388b1567f389d6cb948a1e924c,_release_staging/CapsuleWardrobeRAG/src/ontology_runtime.py || src/ontology_runtime.py,src/ontology_runtime.py
2,16799,fc151a13ad34bd8720e78fdb3725edb67e82cced,_release_staging/CapsuleWardrobeRAG/templates/index.html || templates/index.html,templates/index.html
2,15290,ca142af51a1da26fe93c0f6d14833412dac14f37,_release_staging/CapsuleWardrobeRAG/tools/project_audit_dump.py || tools/project_audit_dump.py,tools/project_audit_dump.py
2,12830,27aac166e130a337afa9db3b3e0dafe3f77129e5,_release_staging/CapsuleWardrobeRAG/ontology/ontology_part_05_materials_sustainability_certifications.md || ontology/ontology_part_05_materials_sustainability_certifications.md,ontology/ontology_part_05_materials_sustainability_certifications.md
2,11211,2f1f0123b004c4b0e15060da2a78a75fba1207bf,_release_staging/CapsuleWardrobeRAG/src/run_registry.py || src/run_registry.py,src/run_registry.py
2,11037,da2dca7691d3b8e19b50f7bfaea2a64b07ecce2f,docs/_snapshot/handoff_20260301-161316/ontology_runtime_dump.json || docs/_snapshot/latest/ontology_runtime_dump.json,
2,10940,d0bdf355947779a1310ea1e47ce9aef47957a8ec,_release_staging/CapsuleWardrobeRAG/src/category_map.py || src/category_map.py,src/category_map.py
